frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,6136,5622,19120,18038,514
1,0.052,6228,5822,18700,18278,406
2,0.103,5934,5689,17728,18572,245
3,0.155,5857,5749,19523,18422,108
4,0.207,5323,5761,19527,18314,-438
5,0.259,6008,5677,17840,18656,331
6,0.31,5524,5767,19089,18272,-243
7,0.362,5808,5556,18191,18302,252
8,0.414,5723,5634,17921,18686,89
9,0.466,6183,5731,18040,18422,452
10,0.517,5498,5725,17887,18302,-227
11,0.569,6062,5568,18099,17966,494
12,0.621,6027,5659,19349,18488,368
13,0.673,6122,5616,19273,18032,506
14,0.724,5633,5707,19523,18128,-74
15,0.776,5371,5737,18566,18374,-366
16,0.828,6245,5647,18344,18320,598
17,0.88,5557,5604,18861,18620,-47
18,0.931,5717,5640,18216,18254,77
19,0.983,5540,5785,18535,18380,-245
20,1.035,6405,5610,18133,18422,795
21,1.087,5755,5791,20789,18392,-36
22,1.138,5730,5791,18463,18194,-61
23,1.19,5623,5755,19114,18224,-132
24,1.242,5764,5719,18082,18158,45
25,1.294,6073,5731,17949,18344,342
26,1.345,5514,5737,17847,18344,-223
27,1.397,5760,5816,18399,18272,-56
28,1.449,5436,5683,18211,18266,-247
29,1.501,5633,5707,19105,18464,-74
30,1.552,5834,5725,18706,18284,109
31,1.604,6284,5665,19706,18632,619
32,1.656,6357,5665,16191,18650,692
33,1.707,5540,5622,19688,18344,-82
34,1.759,5715,5671,18823,18728,44
35,1.811,6370,5834,18516,18740,536
36,1.863,5694,5713,19130,18350,-19
37,1.914,6166,5834,18478,18332,332
38,1.966,5448,5671,19943,18230,-223
39,2.018,5985,5840,18548,18518,145
40,2.07,5403,5798,18601,18380,-395
41,2.121,5703,5749,19097,18722,-46
42,2.173,6396,5761,17358,18284,635
43,2.225,5793,5804,18616,18404,-11
44,2.277,6226,5834,18535,18596,392
45,2.328,5890,5870,19198,18668,20
46,2.38,5942,5731,19010,18626,211
47,2.432,5285,5713,18936,18530,-428
48,2.484,6550,5671,19654,18314,879
49,2.535,6000,5816,19542,18206,184
50,2.587,5992,5767,18668,18542,225
51,2.639,6382,5846,18777,18788,536
52,2.691,5767,5677,18109,18086,90
53,2.742,5703,5755,18788,18638,-52
54,2.794,5917,5761,19144,18470,156
55,2.846,5841,5695,16943,18650,146
56,2.898,5676,5791,19282,18308,-115
57,2.949,5757,5749,18911,18308,8
58,3.001,5507,5713,18914,18416,-206
59,3.053,5569,5816,18556,18110,-247
60,3.105,5809,5749,17409,18674,60
61,3.156,6495,5767,18431,18446,728
62,3.208,5697,5804,19817,18410,-107
63,3.26,6092,5743,20070,18266,349
64,3.311,5973,5846,18632,18416,127
65,3.363,5811,5743,19189,18554,68
66,3.415,5810,5761,19436,18500,49
67,3.467,5881,5791,18603,18332,90
68,3.518,7274,5810,17941,18302,1464
69,3.57,7214,5906,18927,18320,1308
70,3.622,8484,5924,19479,18362,2560
71,3.674,10242,5749,17892,18332,4493
72,3.725,9563,5858,18468,18578,3705
73,3.777,9561,5948,18713,18380,3613
74,3.829,9803,5985,18069,18572,3818
75,3.881,10083,5991,18344,18638,4092
76,3.932,9820,5930,19192,18392,3890
77,3.984,9725,5846,18824,18356,3879
78,4.036,9068,6009,18953,18452,3059
79,4.088,9245,5961,19645,18290,3284
80,4.139,7266,5894,17721,18380,1372
81,4.191,8976,5942,18677,18032,3034
82,4.243,9640,5906,19381,18098,3734
83,4.295,10278,5918,18948,18206,4360
84,4.346,9558,5798,18925,18128,3760
