frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,13551,14091,82097,87143,-540
1,0.052,14132,14422,82039,87204,-290
2,0.103,15099,13904,78244,87707,1195
3,0.155,13460,14031,80725,87767,-571
4,0.207,14021,14103,80727,87386,-82
5,0.259,13009,13675,80309,86604,-666
6,0.31,14901,14145,80496,87876,756
7,0.362,14527,14157,76338,88143,370
8,0.414,13904,14025,77976,85605,-121
9,0.466,13877,14109,78437,87422,-232
10,0.517,14318,13814,79531,87798,504
11,0.569,14646,14615,79448,88228,31
12,0.621,14904,14332,78723,87567,572
13,0.673,14762,13940,79085,87688,822
14,0.724,14151,14235,76920,86907,-84
15,0.776,14775,13717,78704,88361,1058
16,0.828,13399,13765,77377,87458,-366
17,0.88,15607,13796,80124,87810,1811
18,0.931,14370,13958,78118,85127,412
19,0.983,14123,13675,76836,87688,448
20,1.035,13516,13970,80821,86429,-454
21,1.087,12979,13790,77078,86804,-811
22,1.138,14881,13778,81100,85005,1103
23,1.19,14113,13555,77344,87289,558
24,1.242,14225,13778,80012,84848,447
25,1.294,14688,14091,77928,86962,597
26,1.345,14968,13603,81362,85351,1365
27,1.397,14667,13705,77520,85920,962
28,1.449,14185,13699,78969,86653,486
29,1.501,13837,13681,80430,87616,156
30,1.552,13480,13500,75392,85908,-20
31,1.604,13805,13850,78036,86816,-45
32,1.656,13830,13988,77713,86223,-158
33,1.707,13992,13627,80872,86507,365
34,1.759,15126,13850,79391,86423,1276
35,1.811,14301,13741,79770,87125,560
36,1.863,14449,14085,77847,87416,364
37,1.914,13976,13627,78303,87646,349
38,1.966,14292,13621,77564,86023,671
39,2.018,14364,13711,76522,86804,653
40,2.07,13674,13904,80818,86077,-230
41,2.121,14351,13555,83475,86586,796
42,2.173,13471,13518,80170,86513,-47
43,2.225,13877,13771,80361,88179,106
44,2.277,12729,13615,78875,86071,-886
45,2.328,13982,13994,79595,85411,-12
46,2.38,13617,13139,77984,86338,478
47,2.432,14277,13500,80241,86701,777
48,2.484,13827,13482,76496,85569,345
49,2.535,12660,13627,79072,86017,-967
50,2.587,13769,13410,77932,86011,359
51,2.639,14268,13645,78099,86495,623
52,2.691,13600,13723,82857,86356,-123
53,2.742,13759,13434,78969,86368,325
54,2.794,12924,13506,78627,86895,-582
55,2.846,12892,13500,80066,86550,-608
56,2.898,12809,13320,80241,85859,-511
57,2.949,13761,13386,78673,85169,375
58,3.001,13714,13440,78218,87034,274
59,3.053,12513,13187,79044,86459,-674
60,3.105,12955,13356,77314,88561,-401
61,3.156,13542,13452,80899,87137,90
62,3.208,13616,13211,78558,86689,405
63,3.26,12713,13549,78675,84824,-836
64,3.311,13105,13217,79857,86320,-112
65,3.363,14550,13320,81216,86126,1230
66,3.415,13355,13277,78241,86235,78
67,3.467,13195,13067,82028,86417,128
68,3.518,13269,13145,78607,84872,124
69,3.57,13760,13055,76461,86507,705
70,3.622,13574,13109,80611,86380,465
71,3.674,13701,13265,79478,85865,436
72,3.725,14257,13253,78766,86326,1004
73,3.777,14532,13000,81555,86192,1532
74,3.829,13565,13145,77404,84818,420
75,3.881,12902,13199,79864,85351,-297
76,3.932,13975,13049,80621,85290,926
77,3.984,14490,13217,78152,85005,1273
78,4.036,13636,13067,78805,86586,569
79,4.088,14079,13277,77569,85781,802
80,4.139,12222,13296,77139,87228,-1074
81,4.191,14048,13284,79356,85338,764
82,4.243,13811,13127,81550,84024,684
83,4.295,13527,13097,79864,85793,430
84,4.346,14109,13410,81695,85363,699
85,4.398,13728,13061,77877,85381,667
86,4.45,13116,13386,79160,86931,-270
87,4.502,13870,13290,78481,85750,580
88,4.553,13385,13284,82209,85308,101
89,4.605,15536,13404,82344,84279,2132
90,4.657,13536,13404,79279,83727,132
91,4.709,14176,13488,75222,87071,688
92,4.76,14146,13428,78125,85302,718
93,4.812,14597,13091,78172,85956,1506
94,4.864,12592,13277,79200,85254,-685
95,4.915,12956,12970,78534,85193,-14
96,4.967,13639,13476,81230,84739,163
97,5.019,11814,12820,79099,84660,-1006
98,5.071,13154,13139,78914,85974,15
99,5.122,11881,13169,79028,84539,-1288
100,5.174,13171,13085,78489,85423,86
101,5.226,13778,13018,77725,86598,760
102,5.278,12964,13127,81766,85635,-163
103,5.329,12335,12669,76920,86647,-334
104,5.381,12847,12759,81089,86695,88
105,5.433,14025,12765,79579,85775,1260
106,5.485,13152,13024,80143,86192,128
107,5.536,13502,13103,79210,85169,399
108,5.588,13418,12826,77987,85968,592
109,5.64,13249,13464,78989,85890,-215
110,5.692,14075,13320,80116,85363,755
111,5.743,12705,13109,79223,85030,-404
112,5.795,13822,13555,78714,84606,267
113,5.847,14418,13308,79824,84521,1110
114,5.899,13786,13247,77158,86822,539
115,5.95,15402,13109,80400,84073,2293
116,6.002,14122,13103,80908,85914,1019
117,6.054,12075,12970,80034,86211,-895
118,6.106,14296,13115,78284,86283,1181
119,6.157,14211,13000,79256,84945,1211
120,6.209,12399,12868,79366,86199,-469
121,6.261,12997,12777,79936,84654,220
122,6.313,12622,13103,79795,85641,-481
123,6.364,13264,12814,78411,85544,450
124,6.416,12994,12747,80054,86192,247
125,6.468,12619,12530,79839,84842,89
126,6.519,13819,12452,78003,85514,1367
127,6.571,14168,13000,78744,84218,1168
128,6.623,13155,13103,76728,85108,52
129,6.675,13192,13043,78793,84739,149
130,6.726,13136,13109,79286,83703,27
131,6.778,13019,12741,79673,83818,278
132,6.83,12144,12880,76231,83612,-736
133,6.882,12833,13259,78012,83873,-426
134,6.933,12826,13031,76925,85587,-205
135,6.985,12079,12723,79011,84787,-644
136,7.037,13414,12808,78561,85617,606
137,7.089,13153,12814,77193,85005,339
138,7.14,13333,12874,75928,84648,459
139,7.192,13090,12380,80054,85108,710
140,7.244,12968,12555,79592,84951,413
141,7.296,12229,12506,78775,85066,-277
142,7.347,12846,12543,78990,84400,303
143,7.399,12395,12988,79276,83467,-593
144,7.451,12642,12717,77060,85672,-75
145,7.503,12945,12892,77219,84406,53
146,7.554,13923,13374,77864,84830,549
147,7.606,13003,13591,77111,82770,-588
148,7.658,12853,12741,80665,83964,112
149,7.71,13144,12747,76915,83721,397
150,7.761,12867,12633,79491,84139,234
151,7.813,13502,13296,81726,85005,206
152,7.865,13174,13006,77080,85211,168
153,7.917,12618,12735,78684,85363,-117
154,7.968,13141,13012,78201,85229,129
155,8.02,14499,13410,77285,84339,1089
156,8.072,12133,13277,81501,86023,-1144
157,8.123,13753,13362,78638,83988,391
158,8.175,12278,12970,78720,84491,-692
159,8.227,13881,13452,76854,85211,429
160,8.279,13203,13290,80552,84170,-87
161,8.33,14548,13494,80200,85102,1054
162,8.382,13449,13753,80159,84054,-304
163,8.434,12847,13012,78765,84963,-165
164,8.486,13882,13211,76889,85587,671
165,8.537,12437,13217,80142,83225,-780
166,8.589,13135,13085,78024,84430,50
167,8.641,13112,13277,77950,84188,-165
168,8.693,12382,13235,77959,84472,-853
