frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,7891,7262,23343,24033,629
1,0.052,7633,7455,23880,24153,178
2,0.103,8672,7250,25279,23647,1422
3,0.155,10127,7220,23470,24352,2907
4,0.207,13505,7767,23915,24256,5738
5,0.259,12451,7322,25046,23478,5129
6,0.31,13329,7400,23852,24226,5929
7,0.362,11315,7683,22443,23774,3632
8,0.414,9975,7262,23563,24388,2713
9,0.466,8766,7605,22939,23858,1161
10,0.517,9596,7527,23962,23792,2069
11,0.569,9420,7539,23367,24461,1881
12,0.621,10249,7461,25630,24316,2788
13,0.673,9707,7545,22558,24159,2162
14,0.724,9351,7635,23964,24171,1716
15,0.776,11607,7461,24011,24087,4146
16,0.828,11028,7430,23868,23930,3598
17,0.88,9530,7569,25538,23623,1961
18,0.931,10445,7623,24521,23900,2822
19,0.983,9407,7430,23873,23972,1977
20,1.035,8013,7575,22886,24123,438
21,1.087,8575,7539,22391,23894,1036
22,1.138,8849,7418,24650,24376,1431
23,1.19,9905,7394,24355,23466,2511
24,1.242,10361,7376,24305,23936,2985
25,1.294,11159,7430,23289,24202,3729
26,1.345,10478,7364,24920,24202,3114
27,1.397,9779,7443,23763,24352,2336
28,1.449,9642,7316,23700,23840,2326
29,1.501,10455,7467,23622,23683,2988
30,1.552,10416,7274,25382,24057,3142
31,1.604,10945,7262,23009,24129,3683
32,1.656,11882,7352,23654,23780,4530
33,1.707,10783,7352,24203,23918,3431
34,1.759,10714,7286,22857,23936,3428
35,1.811,8410,7479,24658,24328,931
36,1.863,8472,7503,23865,24479,969
37,1.914,7890,7376,24625,23948,514
38,1.966,7467,7142,24027,24244,325
39,2.018,7900,7268,23476,24021,632
40,2.07,10502,7370,24809,24485,3132
41,2.121,10620,7346,23973,24274,3274
42,2.173,10022,7527,22609,24286,2495
43,2.225,9586,7467,22627,23997,2119
44,2.277,9366,7316,25153,24250,2050
45,2.328,9330,7364,25570,24093,1966
46,2.38,7894,7358,24773,24189,536
47,2.432,9964,7424,24048,24467,2540
48,2.484,10593,7196,23158,24147,3397
49,2.535,7717,7641,23334,23882,76
50,2.587,7845,7244,24116,24569,601
51,2.639,6659,7292,23736,24069,-633
52,2.691,7230,7443,25086,24015,-213
53,2.742,7316,7370,24114,24232,-54
54,2.794,7162,7467,23345,24220,-305
55,2.846,8154,7418,24883,23858,736
56,2.898,7005,7358,24619,24214,-353
57,2.949,7363,7208,23304,24226,155
58,3.001,8041,7358,23304,24473,683
59,3.053,7610,7310,25422,24322,300
60,3.105,7866,7352,23373,24075,514
61,3.156,7271,7376,25290,24238,-105
62,3.208,7085,7316,24006,24214,-231
63,3.26,7706,7208,25362,24015,498
64,3.311,8297,7304,24106,23749,993
65,3.363,8163,7304,25511,23997,859
66,3.415,7579,7340,23718,24382,239
67,3.467,7400,7244,23297,24051,156
68,3.518,8006,7376,23312,24310,630
69,3.57,7833,7322,24712,24165,511
70,3.622,8053,7274,23824,24153,779
71,3.674,6681,7292,25515,24183,-611
72,3.725,7389,7166,23283,24479,223
73,3.777,7269,7274,23542,24189,-5
74,3.829,7928,7178,24575,24623,750
75,3.881,8077,7292,22288,24479,785
76,3.932,7327,7250,23975,24220,77
77,3.984,8066,7707,23342,24461,359
78,4.036,8894,7527,24184,24123,1367
79,4.088,7212,7256,23348,23906,-44
80,4.139,6767,7286,22672,24147,-519
81,4.191,7250,7172,22749,24069,78
82,4.243,6974,7430,24980,24226,-456
83,4.295,7652,7328,24332,24129,324
84,4.346,7357,7064,24437,24238,293
85,4.398,7685,7130,23673,24099,555
86,4.45,7512,7250,24424,24431,262
87,4.502,7129,7190,23889,24069,-61
88,4.553,7907,7100,24604,24177,807
89,4.605,7213,7190,23627,24533,23
90,4.657,7938,7214,25157,24051,724
91,4.709,7370,6950,23595,24238,420
92,4.76,7286,7118,24862,24099,168
93,4.812,7449,7298,25168,24250,151
94,4.864,8469,7424,25212,24310,1045
95,4.915,7816,7467,25316,24599,349
96,4.967,7148,7527,24488,24183,-379
97,5.019,8318,7521,23792,24605,797
98,5.071,7516,7677,24104,24340,-161
99,5.122,7372,7605,24019,24298,-233
100,5.174,7701,7545,23527,24274,156
101,5.226,7450,7443,23395,24400,7
102,5.278,7800,7497,23056,24684,303
103,5.329,7565,7503,24617,24015,62
104,5.381,7124,7292,23549,24039,-168
105,5.433,7558,7430,24801,24111,128
106,5.485,7693,7497,24780,24431,196
107,5.536,7723,7701,24572,24045,22
108,5.588,7187,7593,23143,24238,-406
109,5.64,7532,7412,24768,24388,120
110,5.692,8300,7352,24467,24123,948
111,5.743,7263,7773,23252,24268,-510
112,5.795,7435,7569,24981,24123,-134
113,5.847,7753,7683,24638,23816,70
114,5.899,7553,7430,24744,24406,123
115,5.95,7486,7521,23838,24364,-35
116,6.002,7725,7238,25092,24654,487
117,6.054,7497,7238,23639,24063,259
118,6.106,6841,7148,23360,24129,-307
119,6.157,7621,7491,24008,24244,130
120,6.209,7053,7503,25600,24316,-450
121,6.261,6943,7551,25565,24346,-608
122,6.313,7371,7316,24305,24057,55
123,6.364,7117,7292,23935,24039,-175
124,6.416,7107,7334,24165,24003,-227
125,6.468,7240,7208,26088,23972,32
126,6.519,7464,7316,24212,23731,148
127,6.571,6976,7418,23447,24382,-442
128,6.623,7324,7418,24253,24189,-94
129,6.675,7644,7364,24359,23774,280
130,6.726,7072,7328,23842,23979,-256
131,6.778,6726,7382,22332,24123,-656
132,6.83,7247,7316,23785,24406,-69
133,6.882,7142,7400,24322,24340,-258
134,6.933,7417,7244,22978,24533,173
135,6.985,7949,7274,22862,23948,675
136,7.037,7952,7437,24761,24111,515
137,7.089,7136,7449,24217,24461,-313
138,7.14,7643,7539,22329,23985,104
139,7.192,7304,7424,23182,24183,-120
140,7.244,7437,7262,23908,24099,175
141,7.296,6611,7172,24645,24051,-561
142,7.347,7189,7376,24733,24183,-187
143,7.399,7193,7178,23822,24189,15
144,7.451,7107,7539,23922,24147,-432
145,7.503,7325,7202,25289,24009,123
146,7.554,6986,7340,23176,24159,-354
147,7.606,7659,7334,22592,24364,325
148,7.658,7659,7322,25232,23731,337
149,7.71,6726,7256,23422,24310,-530
150,7.761,7355,7527,24065,24515,-172
151,7.813,7306,7082,24505,24165,224
152,7.865,7481,7334,25331,24310,147
153,7.917,7780,7400,23592,24027,380
154,7.968,8170,7316,23350,24443,854
155,8.02,7846,7088,22936,23719,758
156,8.072,7218,7040,22718,23954,178
157,8.123,7356,7112,24439,24250,244
158,8.175,8012,7256,23272,23828,756
159,8.227,7234,7352,24775,24388,-118
160,8.279,7931,7418,25880,24292,513
161,8.33,7624,7088,23892,24310,536
162,8.382,7444,7166,24353,24093,278
163,8.434,7930,7292,24502,24491,638
164,8.486,7235,7256,23480,24003,-21
165,8.537,7240,7202,23904,24189,38
166,8.589,7235,7202,24652,24340,33
167,8.641,8081,7406,25097,24189,675
168,8.693,7350,7256,24423,24292,94
169,8.744,7498,7244,22612,24340,254
170,8.796,7197,7082,23009,24473,115
171,8.848,7627,7358,24108,24087,269
172,8.9,7326,7388,22676,24443,-62
173,8.951,7976,7220,23814,24021,756
174,9.003,7987,7400,23837,24497,587
175,9.055,8305,7503,25325,24406,802
176,9.107,7610,7521,22209,24593,89
177,9.158,7843,7364,24769,24171,479
178,9.21,7088,7304,24057,24419,-216
179,9.262,8065,7418,24374,23912,647
180,9.314,8222,7437,23796,24093,785
181,9.365,7653,7503,23811,24177,150
182,9.417,7070,7226,23865,24159,-156
183,9.469,7390,7310,23837,24256,80
184,9.521,7317,7455,23553,24039,-138
185,9.572,8856,7455,25536,24473,1401
186,9.624,9447,7707,24793,24177,1740
187,9.676,7686,7677,23226,24232,9
188,9.727,10105,7515,23731,24479,2590
189,9.779,9409,7455,23545,24027,1954
190,9.831,8825,7382,24097,24340,1443
191,9.883,9099,7166,24021,24238,1933
192,9.934,8132,7238,23259,24099,894
193,9.986,9285,7238,24782,24141,2047
194,10.038,10093,7178,22834,23798,2915
195,10.09,8815,7406,22308,24268,1409
196,10.141,11153,7839,24394,24147,3314
197,10.193,9625,7725,24108,24443,1900
198,10.245,9010,7515,23359,23888,1495
199,10.297,7771,7400,23650,24165,371
200,10.348,8137,7394,23849,24485,743
201,10.4,9077,7533,24641,24533,1544
202,10.452,7936,7352,24684,24159,584
203,10.504,8467,7280,24350,24557,1187
204,10.555,8569,7238,25897,24575,1331
205,10.607,7406,7070,25419,24503,336
206,10.659,8497,7467,23014,24183,1030
207,10.711,9544,7274,25160,24153,2270
208,10.762,9391,7112,24036,24449,2279
209,10.814,10051,7178,24102,23900,2873
210,10.866,8340,7238,24531,24262,1102
211,10.918,7687,7232,23940,24352,455
212,10.969,8373,7352,24794,24256,1021
213,11.021,7706,7220,24181,24599,486
214,11.073,7521,7418,24372,24226,103
215,11.125,8266,7238,25080,24473,1028
216,11.176,7519,7250,24481,24515,269
217,11.228,8754,7569,23997,24129,1185
218,11.28,8415,7316,23040,24406,1099
219,11.331,8195,7082,25203,24268,1113
220,11.383,7864,7100,24521,23930,764
221,11.435,7911,7220,25787,24015,691
222,11.487,8570,7491,26211,24431,1079
223,11.538,9219,7388,24538,24262,1831
224,11.59,8390,7058,24122,24370,1332
225,11.642,9148,7244,24098,24382,1904
226,11.694,9185,7322,23770,24750,1863
227,11.745,9362,7352,24163,24708,2010
228,11.797,9948,7461,24701,24081,2487
229,11.849,10739,7298,23927,24274,3441
230,11.901,10401,7328,23967,24503,3073
231,11.952,8762,7262,23640,24316,1500
232,12.004,9051,7292,25935,24491,1759
233,12.056,10601,7214,23523,24425,3387
234,12.108,9925,7328,25458,24153,2597
235,12.159,10406,7196,24009,24340,3210
236,12.211,9823,7292,24424,24105,2531
237,12.263,9473,7250,24248,24750,2223
238,12.315,11427,7220,23258,24105,4207
