frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
0,0.0,8391,8084,32955,31987,307
1,0.052,8174,8206,32451,32388,-32
2,0.103,8149,8036,33337,31951,113
3,0.155,8450,8054,32671,31987,396
4,0.207,8001,8176,33386,31896,-175
5,0.259,7990,8042,32797,32169,-52
6,0.31,7764,8072,32635,32109,-308
7,0.362,7938,8224,31426,31428,-286
8,0.414,8843,8036,31679,31282,807
9,0.466,8702,8109,31790,31282,593
10,0.517,8268,8139,32760,31501,129
11,0.569,8262,8243,33904,32030,19
12,0.621,8041,8121,30965,32169,-80
13,0.673,8303,8115,31493,32200,188
14,0.724,8470,7999,33113,32109,471
15,0.776,8541,8090,32329,31616,451
16,0.828,7945,8017,33105,31975,-72
17,0.88,8117,8048,33201,31878,69
18,0.931,8058,8084,31764,31938,-26
19,0.983,8334,7987,32260,31944,347
20,1.035,8599,7981,33000,31707,618
21,1.087,8311,8048,32361,32084,263
22,1.138,7774,7908,33606,31568,-134
23,1.19,8631,8109,33013,31981,522
24,1.242,7970,8030,31001,31963,-60
25,1.294,8276,8066,31537,31865,210
26,1.345,8369,8042,32052,32060,327
27,1.397,8058,8164,31805,31902,-106
28,1.449,7871,8109,32566,32145,-238
29,1.501,7917,8151,32515,31926,-234
30,1.552,8776,8060,32214,31683,716
31,1.604,8798,8060,33284,32115,738
32,1.656,8758,8194,32719,32364,564
33,1.707,8775,8176,33527,31786,599
34,1.759,8113,7993,31778,31963,120
35,1.811,7578,8206,31250,32206,-628
36,1.863,7861,8194,31979,31896,-333
37,1.914,8019,8023,34160,31665,-4
38,1.966,7647,8078,33127,32522,-431
39,2.018,8366,8157,32430,32109,209
40,2.07,8590,7889,32716,31531,701
41,2.121,7900,8036,32303,32218,-136
42,2.173,8113,8182,31786,32042,-69
43,2.225,8946,8298,31750,31349,648
44,2.277,7431,8078,30959,31738,-647
45,2.328,7876,7950,31761,32352,-74
46,2.38,8447,8048,31687,32163,399
47,2.432,7408,8084,32974,32145,-676
48,2.484,7470,8090,33559,31750,-620
49,2.535,7939,7804,32684,31829,135
50,2.587,8290,8005,32906,32030,285
51,2.639,7679,7865,33371,32297,-186
52,2.691,8710,7804,31709,31920,906
53,2.742,8009,8200,31686,32510,-191
54,2.794,8307,7975,31910,32011,332
55,2.846,8572,7956,31363,31853,616
56,2.898,8354,7993,33438,32412,361
57,2.949,8939,8224,31615,32102,715
58,3.001,8577,8170,32610,31483,407
59,3.053,8523,8103,31234,31944,420
60,3.105,8139,8097,33442,32194,42
61,3.156,7612,8151,33180,32121,-539
62,3.208,7671,8005,31588,32096,-334
63,3.26,7381,7920,31294,31799,-539
64,3.311,8235,7950,31774,32072,285
65,3.363,8700,8072,32533,32036,628
66,3.415,8135,7902,32342,31872,233
67,3.467,7829,7950,32815,31835,-121
68,3.518,7789,7999,34307,32096,-210
69,3.57,7951,7908,31996,31872,43
70,3.622,8530,8042,33055,32054,488
71,3.674,8622,7926,32477,32589,696
72,3.725,7339,7914,32282,31841,-575
73,3.777,7427,8054,32232,32084,-627
74,3.829,7906,8048,33007,31720,-142
75,3.881,7882,8060,31261,32510,-178
76,3.932,7893,8218,34819,32145,-325
77,3.984,7608,8060,29584,32042,-452
78,4.036,7619,8212,31273,32807,-593
79,4.088,7924,8048,32422,31580,-124
