id,LIST
1,102 287
3,106 155 211
6,112 36
7,113 197 239
9,116 306 66
10,118 200 237
13,121 208
15,127 177 262
16,128 19
18,132 285
19,133 21 233 269
20,134 2 232
23,138 178 42
24,139 187 264
26,141 175 272 99
28,145 202 252
30,147 17 326
31,15 256
32,151 199 221 300 98
33,152 236 278
34,159 204 63
35,161 243 87
36,162 255 312
39,166 286 68
42,170 267 325 94
43,172 241 56
44,173 224 323
45,174 297 55
46,176 313
47,179 209 263
48,18 190 219
49,182 254 318 61
50,184 77
51,188 71
54,194 274 4
55,195 9
57,213 265 304
58,214 289 67
60,217 88
61,218 324
62,225 52
63,226 322
66,248 46
68,253 59
69,257 293
71,270 92
72,279 310 50
