id,LIST
1,102 287
2,105 3
3,106 155 211
4,107 8
5,111 230
6,112 36
7,113 197 239
8,114 74
9,116 306 66
10,118 200 237
11,119 28
12,120 39
13,121 208
14,122 26
15,127 177 262
16,128 19
17,131 32
18,132 285
19,133 21 233 269
20,134 2 232
21,135 82
22,136 65
23,138 178 42
24,139 187 264
25,140 291
26,141 175 272 99
27,144 171
28,145 202 252
29,146 45
30,147 17 326
31,15 256
32,151 199 221 300 98
33,152 236 278
34,159 204 63
35,161 243 87
36,162 255 312
37,163 25
38,164 89
39,166 286 68
40,167 97
41,168 34
42,170 267 325 94
43,172 241 56
44,173 224 323
45,174 297 55
46,176 313
47,179 209 263
48,18 190 219
49,182 254 318 61
50,184 77
51,188 71
52,192 64
53,193 23
54,194 274 4
55,195 9
56,207 41
57,213 265 304
58,214 289 67
59,216 284
60,217 88
61,218 324
62,225 52
63,226 322
64,242 319
65,244 298
66,248 46
67,250 33
68,253 59
69,257 293
70,259 292
71,270 92
72,279 310 50
73,280 53
74,296 35
