id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
1,176.370,69.230,175.97,69.63,1299.64,10189.0,2093.0,2093.0
2,176.370,69.230,175.97,69.63,1299.64,11160.0,2425.0,2425.0
3,176.370,69.230,175.97,69.63,1299.64,9907.0,2050.0,2050.0
4,176.370,69.230,175.97,69.63,1299.64,9340.0,1907.0,1907.0
5,176.370,69.230,175.97,69.63,1299.64,11562.0,2484.0,2484.0
6,176.370,69.230,175.97,69.63,1299.64,11821.0,2538.0,2538.0
7,176.370,69.230,175.97,69.63,1299.64,11024.0,2359.0,2359.0
8,176.370,69.230,175.97,69.63,1299.64,11226.0,2362.0,2362.0
9,176.370,69.230,175.97,69.63,1299.64,10477.0,2224.0,2224.0
10,176.370,69.230,175.97,69.63,1299.64,10947.0,2298.0,2298.0
11,176.370,69.230,175.97,69.63,1299.64,12857.0,2722.0,2722.0
12,176.370,69.230,175.97,69.63,1299.64,12677.0,2677.0,2677.0
13,176.370,69.230,175.97,69.63,1299.64,10362.0,2131.0,2131.0
14,176.370,69.230,175.97,69.63,1299.64,10912.0,2336.0,2336.0
15,176.370,69.230,175.97,69.63,1299.64,10097.0,1981.0,1981.0
16,176.370,69.230,175.97,69.63,1299.64,11588.0,2434.0,2434.0
17,176.370,69.230,175.97,69.63,1299.64,18420.0,7568.0,7568.0
18,176.370,69.230,175.97,69.63,1299.64,10571.0,2168.0,2168.0
19,176.370,69.230,175.97,69.63,1299.64,11457.0,2313.0,2313.0
20,176.370,69.230,175.97,69.63,1299.64,12119.0,2729.0,2729.0
21,176.370,69.230,175.97,69.63,1299.64,10527.0,2213.0,2213.0
22,176.370,69.230,175.97,69.63,1299.64,13414.0,3040.0,3040.0
23,176.370,69.230,175.97,69.63,1299.64,14817.0,3779.0,3779.0
24,176.370,69.230,175.97,69.63,1299.64,10723.0,2237.0,2237.0
25,176.370,69.230,175.97,69.63,1299.64,11929.0,2621.0,2621.0
26,176.370,69.230,175.97,69.63,1299.64,10060.0,1732.0,1732.0
27,176.370,69.230,175.97,69.63,1299.64,9852.0,1861.0,1861.0
28,176.370,69.230,175.97,69.63,1299.64,10624.0,2169.0,2169.0
