id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
25,111.610,222.520,112.01,222.4,1130.53,33790.0,5040.0,5040.0
26,111.610,222.520,112.01,222.4,1130.53,32725.0,4970.0,4970.0
27,111.610,222.520,112.01,222.4,1130.53,33069.0,5018.0,5018.0
28,111.610,222.520,112.01,222.4,1130.53,34326.0,5114.0,5114.0
29,111.610,222.520,112.01,222.4,1130.53,29186.0,1788.0,1788.0
30,111.610,222.520,112.01,222.4,1130.53,31984.0,4396.0,4396.0
31,111.610,222.520,112.01,222.4,1130.53,31570.0,3565.0,3565.0
32,111.610,222.520,112.01,222.4,1130.53,30889.0,2651.0,2651.0
33,111.610,222.520,112.01,222.4,1130.53,34878.0,6548.0,6548.0
34,111.610,222.520,112.01,222.4,1130.53,33364.0,4451.0,4451.0
35,111.610,222.520,112.01,222.4,1130.53,36134.0,7334.0,7334.0
36,111.610,222.520,112.01,222.4,1130.53,36076.0,7018.0,7018.0
37,111.610,222.520,112.01,222.4,1130.53,36916.0,7230.0,7230.0
38,111.610,222.520,112.01,222.4,1130.53,35464.0,6333.0,6333.0
39,111.610,222.520,112.01,222.4,1130.53,33368.0,4796.0,4796.0
40,111.610,222.520,112.01,222.4,1130.53,34938.0,6330.0,6330.0
41,111.610,222.520,112.01,222.4,1130.53,35119.0,6527.0,6527.0
42,111.610,222.520,112.01,222.4,1130.53,34980.0,5704.0,5704.0
43,111.610,222.520,112.01,222.4,1130.53,33965.0,5288.0,5288.0
44,111.610,222.520,112.01,222.4,1130.53,32607.0,4953.0,4953.0
45,111.610,222.520,112.01,222.4,1130.53,37834.0,8119.0,8119.0
46,111.610,222.520,112.01,222.4,1130.53,34076.0,5522.0,5522.0
47,111.610,222.520,112.01,222.4,1130.53,36378.0,7572.0,7572.0
48,111.610,222.520,112.01,222.4,1130.53,37136.0,8276.0,8276.0
49,111.610,222.520,112.01,222.4,1130.53,31657.0,4885.0,4885.0
50,111.610,222.520,112.01,222.4,1130.53,33342.0,4691.0,4691.0
51,111.610,222.520,112.01,222.4,1130.53,35094.0,5924.0,5924.0
52,111.610,222.520,112.01,222.4,1130.53,35957.0,8169.0,8169.0
53,111.610,222.520,112.01,222.4,1130.53,33385.0,5110.0,5110.0
54,111.610,222.520,112.01,222.4,1130.53,34111.0,5870.0,5870.0
55,111.610,222.520,112.01,222.4,1130.53,34349.0,5933.0,5933.0
56,111.610,222.520,112.01,222.4,1130.53,37746.0,9041.0,9041.0
57,111.610,222.520,112.01,222.4,1130.53,35264.0,6190.0,6190.0
58,111.610,222.520,112.01,222.4,1130.53,34880.0,6426.0,6426.0
59,111.610,222.520,112.01,222.4,1130.53,33861.0,6973.0,6973.0
60,111.610,222.520,112.01,222.4,1130.53,32495.0,4162.0,4162.0
61,111.610,222.520,112.01,222.4,1130.53,37946.0,9452.0,9452.0
62,111.610,222.520,112.01,222.4,1130.53,33763.0,5930.0,5930.0
63,111.610,222.520,112.01,222.4,1130.53,33175.0,5480.0,5480.0
64,111.610,222.520,112.01,222.4,1130.53,35939.0,5932.0,5932.0
65,111.610,222.520,112.01,222.4,1130.53,32627.0,4881.0,4881.0
66,111.610,222.520,112.01,222.4,1130.53,34322.0,6102.0,6102.0
67,111.610,222.520,112.01,222.4,1130.53,35500.0,6847.0,6847.0
68,111.610,222.520,112.01,222.4,1130.53,35300.0,7515.0,7515.0
69,111.610,222.520,112.01,222.4,1130.53,38316.0,9766.0,9766.0
