id,avg_x,avg_y,x,y,bg,Square_intensity,circular_intensity,Gaussian_intensity
403,45.940,225.300,43.25,227.87,1110.49,23886.0,0.0,0.0
404,45.940,225.300,43.25,227.87,1110.49,24454.0,792.0,792.0
405,45.940,225.300,43.25,227.87,1110.49,24690.0,519.0,519.0
406,45.940,225.300,43.25,227.87,1110.49,26599.0,1303.0,1303.0
407,45.940,225.300,43.25,227.87,1110.49,25385.0,1055.0,1055.0
408,45.940,225.300,43.25,227.87,1110.49,23829.0,798.0,798.0
409,45.940,225.300,43.25,227.87,1110.49,23445.0,0.0,0.0
410,45.940,225.300,43.25,227.87,1110.49,24166.0,0.0,0.0
411,45.940,225.300,43.25,227.87,1110.49,23974.0,0.0,0.0
412,45.940,225.300,43.25,227.87,1110.49,24843.0,382.0,382.0
413,45.940,225.300,43.25,227.87,1110.49,23891.0,0.0,0.0
414,45.940,225.300,43.25,227.87,1110.49,22715.0,0.0,0.0
415,45.940,225.300,43.25,227.87,1110.49,24003.0,0.0,0.0
416,45.940,225.300,43.25,227.87,1110.49,23637.0,0.0,0.0
417,45.940,225.300,43.25,227.87,1110.49,25337.0,219.0,219.0
418,45.940,225.300,43.25,227.87,1110.49,24096.0,0.0,0.0
419,45.940,225.300,43.25,227.87,1110.49,24868.0,406.0,406.0
420,45.940,225.300,43.25,227.87,1110.49,23313.0,0.0,0.0
421,45.940,225.300,43.25,227.87,1110.49,24856.0,0.0,0.0
422,45.940,225.300,43.25,227.87,1110.49,22963.0,0.0,0.0
423,45.940,225.300,43.25,227.87,1110.49,23678.0,0.0,0.0
424,45.940,225.300,43.25,227.87,1110.49,24278.0,363.0,363.0
425,45.940,225.300,43.25,227.87,1110.49,25609.0,92.0,92.0
426,45.940,225.300,43.25,227.87,1110.49,25076.0,333.0,333.0
427,45.940,225.300,43.25,227.87,1110.49,22812.0,0.0,0.0
428,45.940,225.300,43.25,227.87,1110.49,24003.0,145.0,145.0
429,45.940,225.300,43.25,227.87,1110.49,24000.0,0.0,0.0
430,45.940,225.300,43.25,227.87,1110.49,23994.0,205.0,205.0
431,45.940,225.300,43.25,227.87,1110.49,25065.0,874.0,874.0
432,45.940,225.300,43.25,227.87,1110.49,23724.0,0.0,0.0
433,45.940,225.300,43.25,227.87,1110.49,26147.0,713.0,713.0
434,45.940,225.300,43.25,227.87,1110.49,24793.0,403.0,403.0
435,45.940,225.300,43.25,227.87,1110.49,23703.0,0.0,0.0
436,45.940,225.300,43.25,227.87,1110.49,24251.0,0.0,0.0
437,45.940,225.300,43.25,227.87,1110.49,22658.0,0.0,0.0
438,45.940,225.300,43.25,227.87,1110.49,25545.0,852.0,852.0
439,45.940,225.300,43.25,227.87,1110.49,24121.0,0.0,0.0
440,45.940,225.300,43.25,227.87,1110.49,22978.0,0.0,0.0
441,45.940,225.300,43.25,227.87,1110.49,24400.0,0.0,0.0
442,45.940,225.300,43.25,227.87,1110.49,24862.0,0.0,0.0
443,45.940,225.300,43.25,227.87,1110.49,22694.0,0.0,0.0
444,45.940,225.300,43.25,227.87,1110.49,24219.0,0.0,0.0
445,45.940,225.300,43.25,227.87,1110.49,23243.0,0.0,0.0
446,45.940,225.300,43.25,227.87,1110.49,22867.0,0.0,0.0
447,45.940,225.300,43.25,227.87,1110.49,22689.0,0.0,0.0
448,45.940,225.300,43.25,227.87,1110.49,24963.0,0.0,0.0
449,45.940,225.300,43.25,227.87,1110.49,22382.0,0.0,0.0
450,45.940,225.300,43.25,227.87,1110.49,24032.0,505.0,505.0
